lg	inLg	name
eu	aa	afarera
eu	ab	abkhaziera
eu	ace	acehnera
eu	ach	acholiera
eu	ada	adangmera
eu	ady	adigera
eu	af	afrikaans
eu	agq	aghemera
eu	ain	ainuera
eu	ak	akanera
eu	ale	aleutera
eu	alt	hegoaldeko altaiera
eu	am	amharera
eu	an	aragoiera
eu	anp	angikera
eu	ar	arabiera
eu	ar_001	arabiera moderno estandarra
eu	arn	maputxe
eu	arp	arapaho
eu	as	assamera
eu	asa	asua
eu	ast	asturiera
eu	av	avarera
eu	awa	awadhiera
eu	ay	aimara
eu	az	azerbaijanera
eu	az	azerbaijanera
eu	ba	baxkirera
eu	ban	baliera
eu	bas	basaa
eu	be	bielorrusiera
eu	bem	bembera
eu	bez	benera
eu	bg	bulgariera
eu	bho	bhojpurera
eu	bi	bislama
eu	bin	edoera
eu	bla	siksikera
eu	bm	bambarera
eu	bn	bengalera
eu	bo	tibetera
eu	br	bretoiera
eu	brx	bodoera
eu	bs	bosniera
eu	bug	buginera
eu	byn	bilena
eu	ca	katalan
eu	ce	txetxenera
eu	ceb	cebuera
eu	cgg	chigera
eu	ch	chamorrera
eu	chk	chuukera
eu	chm	mariera
eu	cho	choctaw
eu	chr	txerokiera
eu	chy	cheyennera
eu	ckb	sorania
eu	co	korsikera
eu	crs	Seychelleetako kreolera
eu	cs	txekiera
eu	cu	elizako eslaviera
eu	cv	txuvaxera
eu	cy	gales
eu	da	daniera
eu	dak	dakotera
eu	dar	dargvera
eu	dav	taitera
eu	de	aleman
eu	de_AT	Austriako aleman
eu	de_CH	Suitzako aleman garai
eu	dgr	dogribera
eu	dje	zarma
eu	dsb	behe-sorabiera
eu	dua	dualera
eu	dv	divehiera
eu	dyo	fonyi jolera
eu	dz	dzongkha
eu	dzg	dazaga
eu	ebu	embua
eu	ee	eweera
eu	efi	efikera
eu	eka	akajuka
eu	el	greziera
eu	en	ingeles
eu	en_AU	Australiako ingeles
eu	en_CA	Kanadako ingeles
eu	en_GB	Britania Handiko ingeles
eu	en_GB	Erresuma Batuko ingeles
eu	en_US	AEBko ingeles
eu	en_US	AEBko ingelesa
eu	eo	esperanto
eu	es	espainiera
eu	es_419	Latinoamerikako espainiera
eu	es_ES	espainiera (Europa)
eu	es_MX	Mexikoko espainiera
eu	et	estoniera
eu	eu	euskara
eu	ewo	ewondera
eu	fa	persiera
eu	ff	fula
eu	fi	finlandiera
eu	fil	filipinera
eu	fj	fijiera
eu	fo	faroera
eu	fon	fona
eu	fr	frantses
eu	fr_CA	Kanadako frantses
eu	fr_CH	Suitzako frantses
eu	fur	friuliera
eu	fy	frisiera
eu	ga	gaeliko
eu	gaa	ga
eu	gag	gagauzera
eu	gd	Eskoziako gaeliko
eu	gez	ge’ez
eu	gil	gilbertera
eu	gl	galiziera
eu	gn	guaraniera
eu	gor	gorontaloa
eu	gsw	Suitzako aleman
eu	gu	gujaratera
eu	guz	gusiiera
eu	gv	manxera
eu	gwi	gwichʼin
eu	ha	hausa
eu	haw	hawaiiera
eu	he	hebreera
eu	hi	hindi
eu	hil	hiligainon
eu	hmn	hmong
eu	hr	kroaziera
eu	hsb	goi-sorabiera
eu	ht	Haitiko kreolera
eu	hu	hungariera
eu	hup	hupera
eu	hy	armeniera
eu	hz	hereroera
eu	ia	interlingua
eu	iba	ibanera
eu	ibb	ibibioera
eu	id	indonesiera
eu	ie	interlingue
eu	ig	igboera
eu	ii	Sichuango yiera
eu	ilo	ilokanera
eu	inh	ingushera
eu	io	ido
eu	is	islandiera
eu	it	italiera
eu	iu	inuktitut
eu	ja	japoniera
