lg	inLg	name
en	aaa	Ghotuo
en	aab	Alumu-Tesu
en	aac	Ari
en	aad	Amal
en	aae	Arbëreshë Albanian
en	aaf	Aranadan
en	aag	Ambrak
en	aah	Abu' Arapesh
en	aai	Arifama-Miniafia
en	aak	Ankave
en	aal	Afade
en	aan	Anambé
en	aao	Algerian Saharan Arabic
en	aap	Pará Arára
en	aaq	Eastern Abnaki
en	aa	Afar
en	aas	Aasáx
en	aat	Arvanitika Albanian
en	aau	Abau
en	aaw	Solong
en	aax	Mandobo Atas
en	aaz	Amarasi
en	aba	Abé
en	abb	Bankon
en	abc	Ambala Ayta
en	abd	Manide
en	abe	Western Abnaki
en	abf	Abai Sungai
en	abg	Abaga
en	abh	Tajiki Arabic
en	abi	Abidji
en	abj	Aka-Bea
en	ab	Abkhazian
en	abl	Lampung Nyo
en	abm	Abanyom
en	abn	Abua
en	abo	Abon
en	abp	Abellen Ayta
en	abq	Abaza
en	abr	Abron
en	abs	Ambonese Malay
en	abt	Ambulas
en	abu	Abure
en	abv	Baharna Arabic
en	abw	Pal
en	abx	Inabaknon
en	aby	Aneme Wake
en	abz	Abui
en	aca	Achagua
en	acb	Áncá
en	acd	Gikyode
en	ace	Achinese
en	acf	Saint Lucian Creole French
en	ach	Acoli
en	aci	Aka-Cari
en	ack	Aka-Kora
en	acl	Akar-Bale
en	acm	Mesopotamian Arabic
en	acn	Achang
en	acp	Eastern Acipa
en	acq	Ta'izzi-Adeni Arabic
en	acr	Achi
en	acs	Acroá
en	act	Achterhoeks
en	acu	Achuar-Shiwiar
en	acv	Achumawi
en	acw	Hijazi Arabic
en	acx	Omani Arabic
en	acy	Cypriot Arabic
en	acz	Acheron
en	ada	Adangme
en	adb	Adabe
en	add	Dzodinka
en	ade	Adele
en	adf	Dhofari Arabic
en	adg	Andegerebinha
en	adh	Adhola
en	adi	Adi
en	adj	Adioukrou
en	adl	Galo
en	adn	Adang
en	ado	Abu
en	adq	Adangbe
en	adr	Adonara
en	ads	Adamorobe Sign Language
en	adt	Adnyamathanha
en	adu	Aduge
en	adw	Amundava
en	adx	Amdo Tibetan
en	ady	Adyghe
en	adz	Adzera
en	aea	Areba
en	aeb	Tunisian Arabic
en	aec	Saidi Arabic
en	aed	Argentine Sign Language
en	aee	Northeast Pashai
en	aek	Haeke
en	ael	Ambele
en	aem	Arem
en	aen	Armenian Sign Language
en	aeq	Aer
en	aer	Eastern Arrernte
en	aes	Alsea
en	aeu	Akeu
en	aew	Ambakich
en	aey	Amele
en	aez	Aeka
en	afb	Gulf Arabic
en	afd	Andai
en	afe	Putukwam
en	afg	Afghan Sign Language
en	afh	Afrihili
en	afi	Akrukay
en	afk	Nanubae
en	afn	Defaka
en	afo	Eloyi
en	afp	Tapei
en	af	Afrikaans
en	afs	Afro-Seminole Creole
en	aft	Afitti
en	afu	Awutu
en	afz	Obokuitai
en	aga	Aguano
en	agb	Legbo
en	agc	Agatu
en	agd	Agarabi
en	age	Angal
en	agf	Arguni
en	agg	Angor
en	agh	Ngelima
en	agi	Agariya
en	agj	Argobba
en	agk	Isarog Agta
en	agl	Fembe
en	agm	Angaataha
en	agn	Agutaynen
en	ago	Tainae
en	agq	Aghem
en	agr	Aguaruna
en	ags	Esimbi
en	agt	Central Cagayan Agta
en	agu	Aguacateco
en	agv	Remontado Dumagat
en	agw	Kahua
en	agx	Aghul
en	agy	Southern Alta
en	agz	Mt. Iriga Agta
en	aha	Ahanta
en	ahb	Axamb
en	ahg	Qimant
en	ahh	Aghu
en	ahi	Tiagbamrin Aizi
en	ahk	Akha
en	ahl	Igo
en	ahm	Mobumrin Aizi
en	ahn	Àhàn
en	aho	Ahom
en	ahp	Aproumu Aizi
en	ahr	Ahirani
en	ahs	Ashe
en	aht	Ahtena
en	aia	Arosi
en	aib	Ainu (China)
en	aic	Ainbai
en	aid	Alngith
en	aie	Amara
en	aif	Agi
en	aig	Antigua and Barbuda Creole English
en	aih	Ai-Cham
en	aii	Assyrian Neo-Aramaic
en	aij	Lishanid Noshan
en	aik	Ake
en	ail	Aimele
en	aim	Aimol
en	ain	Ainu (Japan)
en	aio	Aiton
en	aip	Burumakok
en	aiq	Aimaq
en	air	Airoran
en	ais	Nataoran Amis
en	ait	Arikem
en	aiw	Aari
en	aix	Aighon
en	aiy	Ali
en	aja	Aja (Sudan)
en	ajg	Aja (Benin)
en	aji	Ajië
en	ajn	Andajin
en	ajp	South Levantine Arabic
