lg	inLg	name
te	af	ఆఫ్రికాన్స్
te	alt	దక్షిణ ఆల్టై
te	an	అరగోనిస్
te	ar	అరబిక్
te	as	అస్సామీస్
te	ast	ఆస్టూరియన్
te	av	అవారిక్
te	az	అజెరి
te	ba	బష్కిర్
te	be	బెలరుషియన్
te	bg	బల్గేరియన్
te	bi	బిస్లామా
te	bn	బాంగ్లా
te	br	బ్రెటన్
te	bs	బోస్నియన్
te	bua	బురియట్
te	ca	కాటలాన్
te	ceb	సెబుయానో
te	chm	మారి
te	ckb	సెంట్రల్ కర్డిష్
te	co	కోర్సికన్
te	crh	క్రిమియన్ టర్కిష్
te	cs	చెక్
te	csb	కషుబియన్
te	cu	చర్చ్ స్లావిక్
te	cv	చువాష్
te	cy	వెల్ష్
te	da	డానిష్
te	dar	డార్గ్వా
te	de	జర్మన్
te	dsb	లోయర్ సోర్బియన్
te	el	గ్రీక్
te	en	ఆంగ్లం
te	eo	ఎస్పెరాంటో
te	es	స్పానిష్
te	et	ఎస్టోనియన్
te	eu	బాస్క్యూ
te	fa	పర్షియన్
te	fi	ఫిన్నిష్
te	fo	ఫారోయీజ్
te	fr	ఫ్రెంచ్
te	fy	పశ్చిమ ఫ్రిసియన్
te	ga	ఐరిష్
te	gag	గాగౌజ్
te	gd	స్కాటిష్ గేలిక్
te	gl	గాలిషియన్
te	gn	గ్వారనీ
te	gu	గుజరాతి
te	gv	మాంక్స్
te	ha	హౌసా
te	haw	హవాయియన్
te	he	హీబ్రూ
te	hi	హిందీ
te	hr	క్రోయేషియన్
te	hsb	అప్పర్ సోర్బియన్
te	ht	హైటియన్ క్రియోల్
te	hu	హంగేరియన్
te	hy	ఆర్మేనియన్
te	ia	ఇంటర్లింగ్వా
te	id	ఇండోనేషియన్
te	ig	ఇగ్బో
te	is	ఐస్లాండిక్
te	it	ఇటాలియన్
te	ka	జార్జియన్
te	kaa	కారా-కల్పాక్
te	kk	కజఖ్
te	ko	కొరియన్
te	krc	కరచే-బల్కార్
