lg	inLg	name
az	av	avarikcə
az	ba	başkir dili
az	bi	bislama dili
az	br	Bretonca
az	bua	buryat dili
az	ceb	kebuano dili
az	co	korsikan dili
az	csb	kaşubyan dili
az	cu	kilsə slav dili
az	cv	çuvaş dili
az	dsb	aşağı sorbca
az	fy	friz
az	gd	skot gaelik dili
az	gv	manks dili
az	hi	hindi
az	hsb	yuxarı sorbca
az	ht	haiti
az	ia	interlingua dili
az	kaa	qara-qalpaq dili
az	ku	kürd
az	kum	kumuk dili
az	kv	komi dili
az	lg	qanda dili
az	mr	marati
az	myv	erzya dili
az	no	norveç dili
az	nog	noqay dili
az	oc	oksitanca
az	os	osetik dili
az	rm	retoroman
az	rn	rundi dili
az	rup	aromanca
az	sc	sardin dili
az	sco	skots dili
az	se	şimal sami dili
az	sh	serb-xorvatca
az	si	sinhal
az	sma	cənub sami dili
az	smj	lule sami dili
az	tet	tetum dili
az	tl	taqaloq dili
az	tyv	tuvinyan dili
az	udm	udmurt dili
kk	af	африкаанс
kk	ar	араб
kk	as	ассам
kk	be	беларус
kk	bg	болгар
kk	bn	бенгал
kk	br	брит
kk	ca	каталан
kk	cs	чех
kk	cy	валлий
kk	da	дат
kk	el	грек
kk	eo	эсперанто
kk	et	эстон
kk	eu	баск
kk	fa	парсы
kk	fi	фин
kk	fo	фарер
kk	fy	батыс фриз
kk	ga	ирланд
kk	gn	гуарани
kk	he	иврит
kk	hi	хинди
kk	ht	гаитян
kk	hu	венгер
kk	hy	армян
kk	ia	интерлингва
kk	id	индонезия
kk	is	исланд
kk	ko	кәріс
kk	ku	күрд
kk	la	латын
kk	lb	люксембург
kk	lo	лаос
kk	lt	литва
kk	lv	латыш
kk	mk	македон
kk	ml	малайялам
kk	mr	маратхи
kk	mt	мальта
kk	nb	норвегиялық букмол
kk	ne	непал
kk	nl	голланд
kk	nn	норвегиялық нинорск
kk	no	норвег
kk	oc	окситан
kk	os	осетин
kk	pa	панджаб
kk	pl	поляк
kk	rm	романш
kk	rn	рунди
kk	ro	румын
kk	sa	санскрит
kk	se	Солтүстік саам
kk	sh	сербхорват
kk	si	сингал
kk	sk	словак
kk	sl	словен
kk	sq	албан
kk	sv	швед
kk	sw	суахили
kk	te	телугу
kk	tg	тәжік
kk	th	тай
kk	uk	украин
kk	ur	урду
kk	vi	вьетнам
kk	xh	ксоза
kk	zu	зулу
ky	bg	болгарияча
ky	br	бретон
ky	ca	каталанча
ky	cs	чех тили
ky	fa	Фарзча
ky	fo	фароэче
ky	gn	гуараш
ky	hi	индусча
ky	hu	венгрияча
ky	lb	Люксембургча
ky	lt	литвача
ky	lv	латвияча
ky	mk	македонияча
ky	nb	норвежче букмалча
ky	nn	норвегияча
ky	ro	румынияча
ru	ceb	кебуано
ru	ckb	сорани курдский
ru	csb	кашубианский
ru	fy	западно-фризский
ru	ku	курдский
ru	ky	кыргызский
ru	myv	эрзя
ru	nl	голландский
ru	nn	норвежский нюнорск
ru	sma	саамский (южный)
ru	xh	ксоза
sah	cs	Чиэскэйдии
sah	en	Аҥылычаанныы
sah	fa	Пиэрсийэлии
sah	fr	Пырансуустуу
sah	sq	Албаанскайдыы
tr	be	Beyaz Rusça
tr	br	Breton
tr	bua	Buryat
tr	ceb	Cebuano
tr	fo	Faroe Dili
tr	gd	İskoç Gal Dili
tr	gn	Guarani Dili
tr	gv	Manks
tr	ht	Haiti Dili
tr	ku	Kürtçe
tr	lo	Laoca
tr	lt	Litvanyaca
tr	ml	Malayalam
tr	mr	Marathi
tr	nl	Hollandaca
tr	oc	Occitan
tr	ro	Romence
tr	sa	Sanskritçe
tr	sc	Sardunya Dili
tr	sco	Scots
tr	se	Kuzey Sami
tr	si	Seylanca
tr	sma	Güney Sami
tr	smj	Lule Sami
tr	sw	Svahili
tr	te	Telugu Dili
tr	tl	Takalotça
tr	xh	Zosa
tt	az	урысча
ug	kaa	قاراقالپاقچا
ug	kk	قازاقچا
ug	ky	قىرغىزچا
ug	tt	تاتارچا
ug	ug	ئۇيغۇرچا
ug	uz	ئۆزبەكچا
uz	af	afrikancha
uz	ar	arabcha
uz	as	assamcha
uz	az	ozarbayjoncha
uz	be	belaruscha
uz	bg	bolgarcha
uz	bn	bengalcha
uz	ca	katalancha
uz	cs	chexcha
uz	cy	uelscha
uz	da	daniyacha
uz	de	olmoncha
uz	el	grekcha
uz	eu	baskcha
uz	fa	forscha
uz	fy	gʻarbiy friziancha
uz	ga	irlandcha
uz	he	ibroniy
uz	hi	hindcha
uz	ht	gaitiancha
uz	hu	vengrcha
uz	hy	armancha
uz	id	indoneziyacha
uz	is	islandcha
uz	it	italyancha
uz	ku	kurdcha
uz	lo	lao
uz	lt	litvacha
uz	mk	makedoncha
uz	mr	marati
uz	mt	maltacha
uz	nb	norvegcha bokmal
uz	ne	nepalcha
uz	nl	gollandcha
uz	nn	norvegcha ninorsk
uz	rm	romancha
uz	sa	sanskritcha
uz	si	sinxala
uz	sq	albancha
uz	sv	shvedcha
uz	tg	tojikcha
uz	th	taycha
uz	tk	turkmancha
uz	tr	turkcha
uz	tt	tatarcha
uz	ug	uyg\'urcha
uz	uk	ukraincha
uz	uz	oʻzbekcha
uz	vi	vyetnamcha
uz	xh	xosa
uz	zh	xitoycha
