lg	inLg	name
ky	ar	арабча
ky	ba	башкортчо
ky	cv	чубашча
ky	he	ивритче
ky	ku	куртча
ky	kum	кумукча
ky	tk	түркмөнчө
ky	tr	түркчө
ky	uz	өзбекче
kk	az	әзірбайжан тілі
kk	ba	башқортша
kk	en	ағылшынша
kk	gd	шотландиялық гэл тілі
kk	kk	қазақша
kk	kum	құмықша
kk	cv	чувашша
kk	ky	қырғызша
kk	tk	түрікменше
kk	tr	түрікше
kk	tt	татарша
kk	uz	өзбекше
en	kaa	Karakalpak
en	ky	Kyrgyz
en	os	Ossetian
tt	kk	казакъча
tt	tt	татарча
tt	ky	кыргызча
tt	tr	төрекчә
tt	cv	чувашча
tt	kum	кумыкча
tt	uz	үзбәкчә
tt	ba	башкортча
tt	tk	төрекмәнчә
tt	kaa	каракалпакча
tt	tyv	тувача
tt	az	урысча
ba	ba	башҡортса
ug	kk	قازاقچا
ug	tt	تاتارچا
ug	ky	قىرغىزچا
ug	uz	ئۆزبەكچا
ug	kaa	قاراقالپاقچا
ug	ug	ئۇيغۇرچا
tt	ru	урысча
en	ug	Uyghur
ru	ug	уйгурский
uz	ug	uyg\'urcha
kk	ug	ұйғұрша
ky	ug	уйгурча
en	crh	Crimean Tatar
