lg	inLg	name
sah	af	Аппырыкааныстыы
sah	ar	Араабтыы
sah	az	Адьырбайдьаанныы
sah	be	Бөлөрүүстүү
sah	bg	Булҕаардыы
sah	bn	Бенгаллыы
sah	ca	Каталаанныы
sah	cs	Чиэскэйдии
sah	da	Даатскайдыы
sah	de	Ниэмэстии
sah	el	Гириэктии
sah	en	Аҥылычаанныы
sah	es	Ыспаанныы
sah	et	Эстиэнийэлии
sah	fa	Пиэрсийэлии
sah	fi	Пииннии
sah	fr	Пырансуустуу
sah	hu	Бэҥгиэрдии
sah	hy	Эрмээннии
sah	it	Ытаалыйалыы
sah	kk	Хаһаахтыы
sah	ko	Кэриэйдии
sah	ky	Кыргыстыы
sah	la	Латыынныы
sah	ne	Ньыпааллыы
sah	pa	Пандьаабтыы
sah	pt	Португааллыы
sah	ro	Румыынныы
sah	ru	Нууччалыы
sah	sk	Словаактыы
sah	sq	Албаанскайдыы
sah	te	Төлүгүлүү
sah	tg	Тадьыыктыы
sah	uk	Украйыыньыстыы
sah	uz	Үзбиэктии
sah	zh	Кытайдыы
sah	zu	Зуулулуу
ky	af	африкаанча
ky	ar	арабча
ky	as	ассамча
ky	az	азербайжанча
ky	ba	башкортчо
ky	cv	чубашча
ky	be	беларусча
ky	bg	болгарияча
ky	bn	бангладешче
ky	br	бретон
ky	ca	каталанча
ky	cs	чех тили
ky	cy	уелшче
ky	da	датча
ky	de	немисче
ky	el	грекче
ky	en	англисче
ky	eo	эсперанто
ky	es	испанча
ky	et	эстончо
ky	eu	баскча
ky	fa	Фарзча
ky	fi	финче
ky	fo	фароэче
ky	fr	французча
ky	fy	батыш фризче
ky	ga	ирландча
ky	gn	гуараш
ky	he	ивритче
ky	hi	индусча
ky	ht	гаитиче
ky	hu	венгрияча
ky	hy	армянча
ky	id	индонезияча
ky	is	исландча
ky	it	италиянча
ky	kk	казакча
ky	ko	корейче
ky	ku	куртча
ky	kum	кумукча
ky	ky	кыргызча
ky	la	латынча
ky	lb	Люксембургча
ky	lo	лаочо
ky	lt	литвача
ky	lv	латвияча
ky	mk	македонияча
ky	ml	малайаламча
ky	mr	маратиче
ky	mt	малтизче
ky	nb	норвежче букмалча
ky	ne	непалча
ky	nl	голландча
ky	nn	норвегияча
ky	no	норвежче
ky	pa	пунжабиче
ky	pl	полякча
ky	pt	португалча
ky	rm	романшча
ky	ro	румынияча
ky	ru	орусча
ky	sa	санскритче
ky	sh	серб-хорват
ky	si	сингалача
ky	sk	словакча
ky	sl	словенче
ky	sq	албанча
ky	sv	шведче
ky	sw	суахиличе
ky	te	телугуча
ky	tg	тажикче
ky	th	тайча
ky	tk	түркмөнчө
ky	tr	түркчө
ky	tt	татарча
ky	uk	украинче
ky	ur	урдуча
ky	uz	өзбекче
ky	vi	вьетнамча
ky	xh	косача
ky	zh	кытайча
ky	zu	зулуча
kk	af	африкаанс
kk	ar	араб
kk	as	ассам
kk	az	әзірбайжан тілі
kk	ba	башқортша
kk	be	беларус
kk	bg	болгар
kk	bn	бенгал
kk	br	брит
