lg	inLg	name
an	cat_valencia	valenciano
an	oci_aran	aranés
an	por_BR	portugués brasilero
an	por_PTpre1990	port. europeu (ort. trad.)
ca	cat_valencia	valencià
ca	eng_GB	anglès britànic
ca	eng_US	anglès dels EEUU
ca	fra_eco	quebequès
ca	hbs_BS	bosnià
ca	hbs_HR	croat
ca	hbs_SR	serbi
ca	hbs_SRcyr	serbi (ciríl·lic)
ca	mlt_translit	maltès transliterat
ca	nno_e	norueg oriental
ca	oci_aran	aranès
ca	oci_gascon	gascó
ca	pan_Arab	panjabi (alifat)
ca	pan_Guru	panjabi (gurmukhi)
ca	por_BR	portuguès brasiler
ca	por_PTpre1990	port. europeu (ort. trad.)
ca	tgk_translit	tadjik transliterat
cat_iec2017	cat_iec2017	català (IEC 2017)
cat_valencia	cat_valencia	valencià
de	cat_valencia	valencianische
de	oci_aran	aranesische
de	por_BR	brasilianisches portugiesisch
en	cat_valencia	Valencian
en	eng_GB	British English
en	eng_US	American English
en	fra_eco	Quebec French
en	hbs_BS	Bosnian
en	hbs_HR	Croatian
en	hbs_SR	Serbian
en	hbs_SRcyr	Serbian (Cyrillic)
en	hyx_hye	Armenian (Eastern)
en	hyx_hyw	Armenian (Western)
en	kaz_Arab	Kazakh (Perso-Arabic script)
en	kaz_Cyrl	Kazakh (Cyrillic script)
en	mlt_translit	Maltese Transliterated
en	niv_Amur	Nivkh (Amur)
en	niv_Sakh	Nivkh (Sakhalin)
en	nno_a_vi	Norwegian Nynorsk, vi→vi
en	nno_e	East Norwegian, vi→vi
en	nno_e_me	East Norwegian, vi→me
en	oci_aran	Aranese
en	oci_gascon	Gascon
en	pan_Arab	Punjabi (Arabic)
en	pan_Guru	Punjabi (Gurmukhi)
en	por_BR	Brazilian Portuguese
en	por_PTpre1990	European Port. (trad. spelling)
en	tgk_translit	Tajik Transliterated
en	zab_Phon	Dìiʼzhsah (Phonemic spelling)
en	zab_Simp	Dizhsa (Simplified spelling)
eng_US	eng_US	English (US)
es	cat_valencia	valenciano
es	oci_aran	aranés
es	por_BR	portugués brasileño
es	por_PTpre1990	port. europeo (ort. trad.)
eu	cat_valencia	valentziera
eu	oci_aran	aranera
eu	por_BR	brasilgo portugesa
fi	cat_valencia	valencian
fi	oci_aran	araneesi
fi	por_BR	brasilianportugali
fr	cat_valencia	valencien
fr	eng_GB	anglais britannique
fr	eng_US	anglais américain
fr	fra_eco	français québécois
fr	hbs_BS	bosnien
fr	hbs_HR	croate
fr	hbs_SR	serbe
fr	hbs_SRcyr	serbe (cyrillique)
fr	nno_e	norvégien oriental
fr	oci_aran	aranais
fr	oci_gascon	gascon
fr	por_BR	portugais brésilien
fr	por_PTpre1990	port. européen (orth. trad.)
frp	cat_valencia	valencien
frp	eng_GB	angllês britanico
frp	eng_US	angllês amèriquen
frp	fra_eco	francês quèbècouès
frp	hbs_BS	bosnien
frp	hbs_HR	croato
frp	hbs_SR	sèrbo
frp	hbs_SRcyr	sèrbo (cirilico)
frp	mlt_translit	maltês translitèrâ
frp	nno_e	norvègien orientâl
frp	oci_aran	aranês
frp	oci_gascon	gascon
frp	pan_Arab	pendjabi (arabo)
frp	pan_Guru	pendjabi (gurmukhi)
frp	por_BR	português brèsilien
frp	por_PTpre1990	port. européen (ort. trad.)
frp	tgk_translit	tadjik translitèrâ
ita	cat_valencia	valenzano
ita	oci_aran	aranese
ita	por_BR	portoghese brasiliano
ita	por_PTpre1990	port. europeo (ort. trad.)
kaz_Arab	kaz_Arab	قازاقشا (اراب جازۋىمەن)
kaz_Cyrl	kaz_Cyrl	қазақша (кирил жазуымен)
kk	kaz_Arab	қазақша (араб жазуымен)
kk	kaz_Cyrl	қазақша (кирил жазуымен)
ky	hyx_hye	армянча (чыгыш)
ky	hyx_hyw	армянча (батыш)
ky	kaz_Arab	казакча (арап жазуусу)
ky	kaz_Cyrl	казакча (кирилл жазуусу)
nb	cat_valencia	valensiansk
nb	nno_a_vi	nynorsk e-infinitiv, vi→vi
nb	nno_e	nynorsk e-infinitiv, vi→vi
nb	nno_e_me	nynorsk e-infinitiv, vi→me
nb	oci_aran	araneisk
nb	por_BR	brasiliansk portugisisk
nn	cat_valencia	valensiansk
nn	nno_a_vi	nynorsk e-infinitiv, vi→vi
nn	nno_e	nynorsk e-infinitiv, vi→vi
nn	nno_e_me	nynorsk e-infinitiv, vi→me
nn	oci_aran	araneisk
nn	por_BR	brasiliansk portugisisk
no	cat_valencia	valensiansk
no	nno_a_vi	nynorsk e-infinitiv, vi→vi
no	nno_e	nynorsk e-infinitiv, vi→vi
no	nno_e_me	nynorsk e-infinitiv, vi→me
no	oci_aran	araneisk
no	por_BR	brasiliansk portugisisk
oci	cat_valencia	Valencian
oci	oci_aran	Aranés
oci	oci_gascon	Gascon
oci	por_BR	Portugués brasilian
oci	por_PTpre1990	Port. europèu (ort. trad.)
pt	cat_valencia	valenciano
pt	oci_aran	aranês
pt	por_BR	português brasileiro
pt	por_PTpre1990	port. europeu (ort. trad.)
ru	cat_valencia	валенсийский
ru	oci_aran	aра́нский
ru	por_BR	брази́льский португа́льский
srd	cat_valencia	valentzianu
srd	oci_aran	aranesu
srd	por_BR	portughesu brasilianu
srd	por_PTpre1990	port. europeu (ort. trad.)
sv	cat_valencia	valencianska
sv	oci_aran	araneiska
sv	por_BR	brasiliansk portugisiska
szl	cat_valencia	walyncjańskŏ
szl	oci_aran	arańskŏ
szl	por_BR	portugalskŏ brazylijskŏ
tr	cat_valencia	valensiyaca
tr	oci_aran	Aranca
tr	por_BR	Brezilya Portekizcesi
wad-ipa	wad-ipa	Wamesa (IPA)
